0,Geography,census_tract,household_num,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,median_income_2020
96,1400000US34017012400,"Census Tract 124, Hudson County, New Jersey",1046,80648,80648.0
97,1400000US34017012500,"Census Tract 125, Hudson County, New Jersey",1355,94197,94197.0
98,1400000US34017012600,"Census Tract 126, Hudson County, New Jersey",1256,91492,91492.0
99,1400000US34017012700,"Census Tract 127, Hudson County, New Jersey",1929,75863,75863.0
100,1400000US34017012800,"Census Tract 128, Hudson County, New Jersey",1621,61875,61875.0
101,1400000US34017012900,"Census Tract 129, Hudson County, New Jersey",1192,72628,72628.0
102,1400000US34017013000,"Census Tract 130, Hudson County, New Jersey",1184,63051,63051.0
103,1400000US34017013100,"Census Tract 131, Hudson County, New Jersey",763,55688,55688.0
104,1400000US34017013200,"Census Tract 132, Hudson County, New Jersey",1452,72928,72928.0
105,1400000US34017013300,"Census Tract 133, Hudson County, New Jersey",1035,76641,76641.0
106,1400000US34017013400,"Census Tract 134, Hudson County, New Jersey",776,60833,60833.0
107,1400000US34017013500,"Census Tract 135, Hudson County, New Jersey",1794,49886,49886.0
108,1400000US34017013600,"Census Tract 136, Hudson County, New Jersey",966,52900,52900.0
109,1400000US34017013700,"Census Tract 137, Hudson County, New Jersey",1110,58962,58962.0
110,1400000US34017013800,"Census Tract 138, Hudson County, New Jersey",1848,98125,98125.0
111,1400000US34017013900,"Census Tract 139, Hudson County, New Jersey",1756,107574,107574.0
112,1400000US34017014000,"Census Tract 140, Hudson County, New Jersey",1735,70778,70778.0
113,1400000US34017014101,"Census Tract 141.01, Hudson County, New Jersey",2139,100406,100406.0
114,1400000US34017014102,"Census Tract 141.02, Hudson County, New Jersey",2109,65724,65724.0
115,1400000US34017014200,"Census Tract 142, Hudson County, New Jersey",1881,80179,80179.0
116,1400000US34017014300,"Census Tract 143, Hudson County, New Jersey",1779,64208,64208.0
117,1400000US34017014401,"Census Tract 144.01, Hudson County, New Jersey",1308,85050,85050.0
118,1400000US34017014402,"Census Tract 144.02, Hudson County, New Jersey",1071,81863,81863.0
119,1400000US34017014501,"Census Tract 145.01, Hudson County, New Jersey",2036,57855,57855.0
120,1400000US34017014502,"Census Tract 145.02, Hudson County, New Jersey",1974,23560,23560.0
121,1400000US34017014600,"Census Tract 146, Hudson County, New Jersey",1311,92986,92986.0
122,1400000US34017014700,"Census Tract 147, Hudson County, New Jersey",1632,76094,76094.0
123,1400000US34017014801,"Census Tract 148.01, Hudson County, New Jersey",1724,48929,48929.0
124,1400000US34017014802,"Census Tract 148.02, Hudson County, New Jersey",371,54271,54271.0
125,1400000US34017014900,"Census Tract 149, Hudson County, New Jersey",922,66250,66250.0
126,1400000US34017015001,"Census Tract 150.01, Hudson County, New Jersey",1156,114394,114394.0
127,1400000US34017015003,"Census Tract 150.03, Hudson County, New Jersey",799,52463,52463.0
128,1400000US34017015004,"Census Tract 150.04, Hudson County, New Jersey",1551,53897,53897.0
129,1400000US34017015100,"Census Tract 151, Hudson County, New Jersey",1128,59375,59375.0
130,1400000US34017015201,"Census Tract 152.01, Hudson County, New Jersey",1449,133087,133087.0
131,1400000US34017015202,"Census Tract 152.02, Hudson County, New Jersey",2243,70386,70386.0
132,1400000US34017015300,"Census Tract 153, Hudson County, New Jersey",1542,41915,41915.0
133,1400000US34017015500,"Census Tract 155, Hudson County, New Jersey",1748,59235,59235.0
134,1400000US34017015600,"Census Tract 156, Hudson County, New Jersey",1504,54214,54214.0
135,1400000US34017015700,"Census Tract 157, Hudson County, New Jersey",1260,53860,53860.0
136,1400000US34017015801,"Census Tract 158.01, Hudson County, New Jersey",1678,145137,145137.0
137,1400000US34017015802,"Census Tract 158.02, Hudson County, New Jersey",2376,42069,42069.0
138,1400000US34017015900,"Census Tract 159, Hudson County, New Jersey",1814,60827,60827.0
139,1400000US34017016000,"Census Tract 160, Hudson County, New Jersey",1157,63063,63063.0
140,1400000US34017016100,"Census Tract 161, Hudson County, New Jersey",1348,41630,41630.0
141,1400000US34017016200,"Census Tract 162, Hudson County, New Jersey",1704,37865,37865.0
142,1400000US34017016300,"Census Tract 163, Hudson County, New Jersey",1912,51538,51538.0
143,1400000US34017016400,"Census Tract 164, Hudson County, New Jersey",1574,42614,42614.0
144,1400000US34017016500,"Census Tract 165, Hudson County, New Jersey",1909,71746,71746.0
145,1400000US34017016600,"Census Tract 166, Hudson County, New Jersey",1358,42212,42212.0
146,1400000US34017016700,"Census Tract 167, Hudson County, New Jersey",623,51576,51576.0
147,1400000US34017016800,"Census Tract 168, Hudson County, New Jersey",1269,44375,44375.0
148,1400000US34017016900,"Census Tract 169, Hudson County, New Jersey",1172,33500,33500.0
149,1400000US34017017000,"Census Tract 170, Hudson County, New Jersey",1810,47318,47318.0
150,1400000US34017017100,"Census Tract 171, Hudson County, New Jersey",1877,59207,59207.0
151,1400000US34017017200,"Census Tract 172, Hudson County, New Jersey",1187,43050,43050.0
152,1400000US34017017300,"Census Tract 173, Hudson County, New Jersey",1087,73268,73268.0
153,1400000US34017017400,"Census Tract 174, Hudson County, New Jersey",977,36646,36646.0
154,1400000US34017017500,"Census Tract 175, Hudson County, New Jersey",1269,57664,57664.0
155,1400000US34017017600,"Census Tract 176, Hudson County, New Jersey",1120,46100,46100.0
156,1400000US34017017700,"Census Tract 177, Hudson County, New Jersey",725,46531,46531.0
157,1400000US34017017800,"Census Tract 178, Hudson County, New Jersey",2607,76612,76612.0
158,1400000US34017017900,"Census Tract 179, Hudson County, New Jersey",2125,159028,159028.0
159,1400000US34017018000,"Census Tract 180, Hudson County, New Jersey",1666,66757,66757.0
160,1400000US34017018100,"Census Tract 181, Hudson County, New Jersey",1217,82031,82031.0
161,1400000US34017018200,"Census Tract 182, Hudson County, New Jersey",1897,117321,117321.0
162,1400000US34017018301,"Census Tract 183.01, Hudson County, New Jersey",1297,201544,201544.0
163,1400000US34017018302,"Census Tract 183.02, Hudson County, New Jersey",2187,"250,000+",
164,1400000US34017018401,"Census Tract 184.01, Hudson County, New Jersey",1377,140250,140250.0
165,1400000US34017018402,"Census Tract 184.02, Hudson County, New Jersey",1361,201935,201935.0
