census_tract,Median gross rent,tract_num,median_rent_2020
"Census Tract 67, Hudson County, New Jersey!!Estimate",622,67.0,622.0
"Census Tract 68, Hudson County, New Jersey!!Estimate","1,289",68.0,1289.0
"Census Tract 69, Hudson County, New Jersey!!Estimate",-,69.0,
"Census Tract 70.01, Hudson County, New Jersey!!Estimate",915,70.01,915.0
"Census Tract 70.02, Hudson County, New Jersey!!Estimate","2,675",70.02,2675.0
"Census Tract 71, Hudson County, New Jersey!!Estimate","1,189",71.0,1189.0
"Census Tract 72, Hudson County, New Jersey!!Estimate","3,026",72.0,3026.0
"Census Tract 73, Hudson County, New Jersey!!Estimate","2,817",73.0,2817.0
"Census Tract 74, Hudson County, New Jersey!!Estimate","3,440",74.0,3440.0
"Census Tract 75, Hudson County, New Jersey!!Estimate","2,245",75.0,2245.0
"Census Tract 76.01, Hudson County, New Jersey!!Estimate","3,000",76.01,3000.0
"Census Tract 76.02, Hudson County, New Jersey!!Estimate","3,208",76.02,3208.0
"Census Tract 77.01, Hudson County, New Jersey!!Estimate","2,925",77.01,2925.0
"Census Tract 77.02, Hudson County, New Jersey!!Estimate","3,156",77.02,3156.0
"Census Tract 77.03, Hudson County, New Jersey!!Estimate","2,778",77.03,2778.0
"Census Tract 78, Hudson County, New Jersey!!Estimate","2,092",78.0,2092.0
"Census Tract 101, Hudson County, New Jersey!!Estimate","1,384",101.0,1384.0
"Census Tract 102, Hudson County, New Jersey!!Estimate","1,361",102.0,1361.0
"Census Tract 103, Hudson County, New Jersey!!Estimate","1,223",103.0,1223.0
"Census Tract 104, Hudson County, New Jersey!!Estimate","1,720",104.0,1720.0
"Census Tract 105, Hudson County, New Jersey!!Estimate","1,503",105.0,1503.0
"Census Tract 106.01, Hudson County, New Jersey!!Estimate",-,106.01,
"Census Tract 106.02, Hudson County, New Jersey!!Estimate","1,466",106.02,1466.0
"Census Tract 107.01, Hudson County, New Jersey!!Estimate","1,183",107.01,1183.0
"Census Tract 107.02, Hudson County, New Jersey!!Estimate","1,180",107.02,1180.0
"Census Tract 108, Hudson County, New Jersey!!Estimate","1,611",108.0,1611.0
"Census Tract 109, Hudson County, New Jersey!!Estimate","1,069",109.0,1069.0
"Census Tract 110, Hudson County, New Jersey!!Estimate","1,342",110.0,1342.0
"Census Tract 111, Hudson County, New Jersey!!Estimate","1,346",111.0,1346.0
"Census Tract 112, Hudson County, New Jersey!!Estimate","1,499",112.0,1499.0
"Census Tract 113, Hudson County, New Jersey!!Estimate","1,210",113.0,1210.0
"Census Tract 114, Hudson County, New Jersey!!Estimate","1,247",114.0,1247.0
"Census Tract 115, Hudson County, New Jersey!!Estimate","1,225",115.0,1225.0
"Census Tract 116, Hudson County, New Jersey!!Estimate",830,116.0,830.0
"Census Tract 123, Hudson County, New Jersey!!Estimate","1,191",123.0,1191.0
"Census Tract 124, Hudson County, New Jersey!!Estimate","1,222",124.0,1222.0
"Census Tract 125, Hudson County, New Jersey!!Estimate","1,210",125.0,1210.0
"Census Tract 126, Hudson County, New Jersey!!Estimate","1,365",126.0,1365.0
"Census Tract 127, Hudson County, New Jersey!!Estimate","1,293",127.0,1293.0
"Census Tract 128, Hudson County, New Jersey!!Estimate","1,479",128.0,1479.0
"Census Tract 129, Hudson County, New Jersey!!Estimate","1,440",129.0,1440.0
"Census Tract 130, Hudson County, New Jersey!!Estimate","1,318",130.0,1318.0
"Census Tract 131, Hudson County, New Jersey!!Estimate","1,275",131.0,1275.0
"Census Tract 132, Hudson County, New Jersey!!Estimate","1,429",132.0,1429.0
"Census Tract 133, Hudson County, New Jersey!!Estimate","1,300",133.0,1300.0
"Census Tract 134, Hudson County, New Jersey!!Estimate","1,255",134.0,1255.0
"Census Tract 135, Hudson County, New Jersey!!Estimate","1,358",135.0,1358.0
"Census Tract 136, Hudson County, New Jersey!!Estimate","1,360",136.0,1360.0
"Census Tract 137, Hudson County, New Jersey!!Estimate","1,313",137.0,1313.0
"Census Tract 138, Hudson County, New Jersey!!Estimate","2,042",138.0,2042.0
"Census Tract 139, Hudson County, New Jersey!!Estimate","2,014",139.0,2014.0
"Census Tract 140, Hudson County, New Jersey!!Estimate","1,448",140.0,1448.0
"Census Tract 141.01, Hudson County, New Jersey!!Estimate","1,787",141.01,1787.0
"Census Tract 141.02, Hudson County, New Jersey!!Estimate","1,326",141.02,1326.0
"Census Tract 142, Hudson County, New Jersey!!Estimate","1,565",142.0,1565.0
"Census Tract 143, Hudson County, New Jersey!!Estimate","1,185",143.0,1185.0
"Census Tract 144.01, Hudson County, New Jersey!!Estimate","1,734",144.01,1734.0
"Census Tract 144.02, Hudson County, New Jersey!!Estimate","1,726",144.02,1726.0
"Census Tract 145.01, Hudson County, New Jersey!!Estimate","1,522",145.01,1522.0
"Census Tract 145.02, Hudson County, New Jersey!!Estimate",536,145.02,536.0
"Census Tract 146, Hudson County, New Jersey!!Estimate","2,115",146.0,2115.0
"Census Tract 147, Hudson County, New Jersey!!Estimate","1,569",147.0,1569.0
"Census Tract 148.01, Hudson County, New Jersey!!Estimate","1,306",148.01,1306.0
"Census Tract 148.02, Hudson County, New Jersey!!Estimate","1,191",148.02,1191.0
"Census Tract 149, Hudson County, New Jersey!!Estimate","1,490",149.0,1490.0
"Census Tract 150.01, Hudson County, New Jersey!!Estimate","2,313",150.01,2313.0
"Census Tract 150.03, Hudson County, New Jersey!!Estimate","1,559",150.03,1559.0
"Census Tract 150.04, Hudson County, New Jersey!!Estimate","1,307",150.04,1307.0
"Census Tract 151, Hudson County, New Jersey!!Estimate","1,532",151.0,1532.0
"Census Tract 152.01, Hudson County, New Jersey!!Estimate","2,794",152.01,2794.0
"Census Tract 152.02, Hudson County, New Jersey!!Estimate","1,455",152.02,1455.0
"Census Tract 153, Hudson County, New Jersey!!Estimate","1,208",153.0,1208.0
"Census Tract 155, Hudson County, New Jersey!!Estimate","1,337",155.0,1337.0
"Census Tract 156, Hudson County, New Jersey!!Estimate","1,198",156.0,1198.0
"Census Tract 157, Hudson County, New Jersey!!Estimate","1,493",157.0,1493.0
"Census Tract 158.01, Hudson County, New Jersey!!Estimate","2,948",158.01,2948.0
"Census Tract 158.02, Hudson County, New Jersey!!Estimate","1,080",158.02,1080.0
"Census Tract 159, Hudson County, New Jersey!!Estimate","1,321",159.0,1321.0
"Census Tract 160, Hudson County, New Jersey!!Estimate","1,232",160.0,1232.0
"Census Tract 161, Hudson County, New Jersey!!Estimate","1,271",161.0,1271.0
"Census Tract 162, Hudson County, New Jersey!!Estimate","1,157",162.0,1157.0
"Census Tract 163, Hudson County, New Jersey!!Estimate","1,276",163.0,1276.0
"Census Tract 164, Hudson County, New Jersey!!Estimate","1,380",164.0,1380.0
"Census Tract 165, Hudson County, New Jersey!!Estimate","1,163",165.0,1163.0
"Census Tract 166, Hudson County, New Jersey!!Estimate","1,153",166.0,1153.0
"Census Tract 167, Hudson County, New Jersey!!Estimate","1,335",167.0,1335.0
"Census Tract 168, Hudson County, New Jersey!!Estimate","1,292",168.0,1292.0
"Census Tract 169, Hudson County, New Jersey!!Estimate","1,169",169.0,1169.0
"Census Tract 170, Hudson County, New Jersey!!Estimate","1,249",170.0,1249.0
"Census Tract 171, Hudson County, New Jersey!!Estimate","1,442",171.0,1442.0
"Census Tract 172, Hudson County, New Jersey!!Estimate","1,218",172.0,1218.0
"Census Tract 173, Hudson County, New Jersey!!Estimate","1,337",173.0,1337.0
"Census Tract 174, Hudson County, New Jersey!!Estimate","1,107",174.0,1107.0
"Census Tract 175, Hudson County, New Jersey!!Estimate","1,348",175.0,1348.0
"Census Tract 176, Hudson County, New Jersey!!Estimate","1,333",176.0,1333.0
"Census Tract 177, Hudson County, New Jersey!!Estimate","1,147",177.0,1147.0
"Census Tract 178, Hudson County, New Jersey!!Estimate","1,194",178.0,1194.0
"Census Tract 179, Hudson County, New Jersey!!Estimate","2,901",179.0,2901.0
"Census Tract 180, Hudson County, New Jersey!!Estimate","1,359",180.0,1359.0
"Census Tract 181, Hudson County, New Jersey!!Estimate","1,197",181.0,1197.0
"Census Tract 182, Hudson County, New Jersey!!Estimate","1,718",182.0,1718.0
"Census Tract 183.01, Hudson County, New Jersey!!Estimate","3,427",183.01,3427.0
"Census Tract 183.02, Hudson County, New Jersey!!Estimate","3,460",183.02,3460.0
"Census Tract 184.01, Hudson County, New Jersey!!Estimate","2,187",184.01,2187.0
"Census Tract 184.02, Hudson County, New Jersey!!Estimate","2,788",184.02,2788.0
"Census Tract 185.01, Hudson County, New Jersey!!Estimate","2,922",185.01,2922.0
"Census Tract 185.02, Hudson County, New Jersey!!Estimate","1,664",185.02,1664.0
"Census Tract 186, Hudson County, New Jersey!!Estimate","2,114",186.0,2114.0
"Census Tract 187.01, Hudson County, New Jersey!!Estimate","2,204",187.01,2204.0
"Census Tract 187.02, Hudson County, New Jersey!!Estimate","2,087",187.02,2087.0
"Census Tract 188, Hudson County, New Jersey!!Estimate","1,932",188.0,1932.0
"Census Tract 189, Hudson County, New Jersey!!Estimate","1,441",189.0,1441.0
"Census Tract 190, Hudson County, New Jersey!!Estimate","1,546",190.0,1546.0
"Census Tract 191, Hudson County, New Jersey!!Estimate","2,486",191.0,2486.0
"Census Tract 192, Hudson County, New Jersey!!Estimate","2,454",192.0,2454.0
"Census Tract 193, Hudson County, New Jersey!!Estimate","2,306",193.0,2306.0
"Census Tract 194, Hudson County, New Jersey!!Estimate","1,703",194.0,1703.0
"Census Tract 198, Hudson County, New Jersey!!Estimate","1,675",198.0,1675.0
"Census Tract 199, Hudson County, New Jersey!!Estimate","1,484",199.0,1484.0
"Census Tract 200, Hudson County, New Jersey!!Estimate","1,419",200.0,1419.0
"Census Tract 201, Hudson County, New Jersey!!Estimate","2,690",201.0,2690.0
"Census Tract 324, Hudson County, New Jersey!!Estimate","1,293",324.0,1293.0
"Census Tract 9801, Hudson County, New Jersey!!Estimate",-,9801.0,
