census_tract,Median gross rent,tract_num,median_rent_2020
"Census Tract 1.01, Hudson County, New Jersey!!Estimate","1,659",1.01,1659.0
"Census Tract 1.02, Hudson County, New Jersey!!Estimate","1,461",1.02,1461.0
"Census Tract 2, Hudson County, New Jersey!!Estimate","1,314",2.0,1314.0
"Census Tract 3, Hudson County, New Jersey!!Estimate","1,288",3.0,1288.0
"Census Tract 4, Hudson County, New Jersey!!Estimate","1,492",4.0,1492.0
"Census Tract 5, Hudson County, New Jersey!!Estimate","1,534",5.0,1534.0
"Census Tract 6, Hudson County, New Jersey!!Estimate","1,189",6.0,1189.0
"Census Tract 7, Hudson County, New Jersey!!Estimate","1,393",7.0,1393.0
"Census Tract 8, Hudson County, New Jersey!!Estimate","1,515",8.0,1515.0
"Census Tract 9.02, Hudson County, New Jersey!!Estimate","1,270",9.02,1270.0
"Census Tract 10, Hudson County, New Jersey!!Estimate","1,284",10.0,1284.0
"Census Tract 11, Hudson County, New Jersey!!Estimate","1,311",11.0,1311.0
"Census Tract 12.01, Hudson County, New Jersey!!Estimate","1,374",12.01,1374.0
"Census Tract 12.02, Hudson County, New Jersey!!Estimate","1,154",12.02,1154.0
"Census Tract 13, Hudson County, New Jersey!!Estimate","1,595",13.0,1595.0
"Census Tract 14, Hudson County, New Jersey!!Estimate","1,407",14.0,1407.0
"Census Tract 17.01, Hudson County, New Jersey!!Estimate","1,449",17.01,1449.0
"Census Tract 18, Hudson County, New Jersey!!Estimate","1,126",18.0,1126.0
"Census Tract 19, Hudson County, New Jersey!!Estimate","1,486",19.0,1486.0
"Census Tract 20.01, Hudson County, New Jersey!!Estimate","1,405",20.01,1405.0
"Census Tract 20.02, Hudson County, New Jersey!!Estimate","1,278",20.02,1278.0
"Census Tract 22, Hudson County, New Jersey!!Estimate","1,645",22.0,1645.0
"Census Tract 23, Hudson County, New Jersey!!Estimate","1,959",23.0,1959.0
"Census Tract 24, Hudson County, New Jersey!!Estimate","2,115",24.0,2115.0
"Census Tract 27, Hudson County, New Jersey!!Estimate","1,326",27.0,1326.0
"Census Tract 28, Hudson County, New Jersey!!Estimate","1,142",28.0,1142.0
"Census Tract 29, Hudson County, New Jersey!!Estimate","1,207",29.0,1207.0
"Census Tract 30, Hudson County, New Jersey!!Estimate","1,041",30.0,1041.0
"Census Tract 31.01, Hudson County, New Jersey!!Estimate","2,015",31.01,2015.0
"Census Tract 31.02, Hudson County, New Jersey!!Estimate","1,130",31.02,1130.0
"Census Tract 35, Hudson County, New Jersey!!Estimate","1,730",35.0,1730.0
"Census Tract 40, Hudson County, New Jersey!!Estimate","1,429",40.0,1429.0
"Census Tract 41.02, Hudson County, New Jersey!!Estimate","1,211",41.02,1211.0
"Census Tract 41.03, Hudson County, New Jersey!!Estimate","1,180",41.03,1180.0
"Census Tract 41.04, Hudson County, New Jersey!!Estimate","1,065",41.04,1065.0
"Census Tract 42, Hudson County, New Jersey!!Estimate","1,128",42.0,1128.0
"Census Tract 43, Hudson County, New Jersey!!Estimate","1,220",43.0,1220.0
"Census Tract 44, Hudson County, New Jersey!!Estimate",948,44.0,948.0
"Census Tract 45, Hudson County, New Jersey!!Estimate","1,318",45.0,1318.0
"Census Tract 46, Hudson County, New Jersey!!Estimate","1,314",46.0,1314.0
"Census Tract 47, Hudson County, New Jersey!!Estimate","1,828",47.0,1828.0
"Census Tract 48, Hudson County, New Jersey!!Estimate","1,649",48.0,1649.0
"Census Tract 49, Hudson County, New Jersey!!Estimate","1,460",49.0,1460.0
"Census Tract 52, Hudson County, New Jersey!!Estimate","1,023",52.0,1023.0
"Census Tract 53, Hudson County, New Jersey!!Estimate","1,304",53.0,1304.0
"Census Tract 54, Hudson County, New Jersey!!Estimate","1,650",54.0,1650.0
"Census Tract 55, Hudson County, New Jersey!!Estimate","1,095",55.0,1095.0
"Census Tract 56, Hudson County, New Jersey!!Estimate","1,399",56.0,1399.0
"Census Tract 58.01, Hudson County, New Jersey!!Estimate","1,117",58.01,1117.0
"Census Tract 58.02, Hudson County, New Jersey!!Estimate","2,324",58.02,2324.0
"Census Tract 59.01, Hudson County, New Jersey!!Estimate","1,273",59.01,1273.0
"Census Tract 59.02, Hudson County, New Jersey!!Estimate","1,079",59.02,1079.0
"Census Tract 60, Hudson County, New Jersey!!Estimate","1,123",60.0,1123.0
"Census Tract 61.01, Hudson County, New Jersey!!Estimate","1,591",61.01,1591.0
"Census Tract 61.02, Hudson County, New Jersey!!Estimate","1,204",61.02,1204.0
"Census Tract 62, Hudson County, New Jersey!!Estimate","1,156",62.0,1156.0
"Census Tract 63, Hudson County, New Jersey!!Estimate","1,152",63.0,1152.0
"Census Tract 64, Hudson County, New Jersey!!Estimate","2,149",64.0,2149.0
"Census Tract 65, Hudson County, New Jersey!!Estimate",957,65.0,957.0
"Census Tract 66, Hudson County, New Jersey!!Estimate","1,988",66.0,1988.0
