census_tract,Median gross rent,tract_num,median_rent_2010
"Census Tract 158.02, Hudson County, New Jersey!!Total population!!Estimate","1,007",158.02,1007
"Census Tract 28, Hudson County, New Jersey!!Total population!!Estimate",790,28.0,790
"Census Tract 104, Hudson County, New Jersey!!Total population!!Estimate","1,008",104.0,1008
"Census Tract 44, Hudson County, New Jersey!!Total population!!Estimate",715,44.0,715
"Census Tract 12.02, Hudson County, New Jersey!!Total population!!Estimate",689,12.02,689
"Census Tract 46, Hudson County, New Jersey!!Total population!!Estimate","1,173",46.0,1173
"Census Tract 130, Hudson County, New Jersey!!Total population!!Estimate","1,071",130.0,1071
"Census Tract 135, Hudson County, New Jersey!!Total population!!Estimate","1,021",135.0,1021
"Census Tract 137, Hudson County, New Jersey!!Total population!!Estimate","1,091",137.0,1091
"Census Tract 159, Hudson County, New Jersey!!Total population!!Estimate",942,159.0,942
"Census Tract 181, Hudson County, New Jersey!!Total population!!Estimate","1,027",181.0,1027
"Census Tract 9.02, Hudson County, New Jersey!!Total population!!Estimate",780,9.02,780
"Census Tract 55, Hudson County, New Jersey!!Total population!!Estimate","1,100",55.0,1100
"Census Tract 110, Hudson County, New Jersey!!Total population!!Estimate","1,080",110.0,1080
"Census Tract 178, Hudson County, New Jersey!!Total population!!Estimate",930,178.0,930
"Census Tract 184, Hudson County, New Jersey!!Total population!!Estimate","1,837",184.0,1837
"Census Tract 115, Hudson County, New Jersey!!Total population!!Estimate",982,115.0,982
"Census Tract 60, Hudson County, New Jersey!!Total population!!Estimate",995,60.0,995
"Census Tract 194, Hudson County, New Jersey!!Total population!!Estimate","1,677",194.0,1677
"Census Tract 191, Hudson County, New Jersey!!Total population!!Estimate","1,544",191.0,1544
"Census Tract 43, Hudson County, New Jersey!!Total population!!Estimate",803,43.0,803
"Census Tract 71, Hudson County, New Jersey!!Total population!!Estimate",930,71.0,930
"Census Tract 49, Hudson County, New Jersey!!Total population!!Estimate","1,081",49.0,1081
"Census Tract 133, Hudson County, New Jersey!!Total population!!Estimate","1,016",133.0,1016
"Census Tract 140, Hudson County, New Jersey!!Total population!!Estimate","1,027",140.0,1027
"Census Tract 168, Hudson County, New Jersey!!Total population!!Estimate",924,168.0,924
"Census Tract 59, Hudson County, New Jersey!!Total population!!Estimate","1,046",59.0,1046
"Census Tract 131, Hudson County, New Jersey!!Total population!!Estimate","1,071",131.0,1071
"Census Tract 177, Hudson County, New Jersey!!Total population!!Estimate",956,177.0,956
"Census Tract 125, Hudson County, New Jersey!!Total population!!Estimate","1,042",125.0,1042
"Census Tract 78, Hudson County, New Jersey!!Total population!!Estimate",480,78.0,480
"Census Tract 112, Hudson County, New Jersey!!Total population!!Estimate","1,127",112.0,1127
"Census Tract 173, Hudson County, New Jersey!!Total population!!Estimate",917,173.0,917
"Census Tract 41.01, Hudson County, New Jersey!!Total population!!Estimate",882,41.01,882
"Census Tract 52, Hudson County, New Jersey!!Total population!!Estimate",915,52.0,915
"Census Tract 145.01, Hudson County, New Jersey!!Total population!!Estimate","1,121",145.01,1121
"Census Tract 1, Hudson County, New Jersey!!Total population!!Estimate","1,341",1.0,1341
"Census Tract 58.01, Hudson County, New Jersey!!Total population!!Estimate",923,58.01,923
"Census Tract 63, Hudson County, New Jersey!!Total population!!Estimate",973,63.0,973
"Census Tract 12.01, Hudson County, New Jersey!!Total population!!Estimate","1,011",12.01,1011
"Census Tract 13, Hudson County, New Jersey!!Total population!!Estimate","1,086",13.0,1086
"Census Tract 164, Hudson County, New Jersey!!Total population!!Estimate",969,164.0,969
"Census Tract 172, Hudson County, New Jersey!!Total population!!Estimate","1,167",172.0,1167
"Census Tract 123, Hudson County, New Jersey!!Total population!!Estimate",978,123.0,978
"Census Tract 156, Hudson County, New Jersey!!Total population!!Estimate",845,156.0,845
"Census Tract 170, Hudson County, New Jersey!!Total population!!Estimate",899,170.0,899
"Census Tract 182, Hudson County, New Jersey!!Total population!!Estimate","1,111",182.0,1111
"Census Tract 101, Hudson County, New Jersey!!Total population!!Estimate","1,035",101.0,1035
"Census Tract 141.02, Hudson County, New Jersey!!Total population!!Estimate",953,141.02,953
"Census Tract 138, Hudson County, New Jersey!!Total population!!Estimate","1,230",138.0,1230
"Census Tract 187.02, Hudson County, New Jersey!!Total population!!Estimate","1,697",187.02,1697
"Census Tract 144, Hudson County, New Jersey!!Total population!!Estimate","1,309",144.0,1309
"Census Tract 127, Hudson County, New Jersey!!Total population!!Estimate","1,196",127.0,1196
"Census Tract 161, Hudson County, New Jersey!!Total population!!Estimate",983,161.0,983
"Census Tract 3, Hudson County, New Jersey!!Total population!!Estimate","1,120",3.0,1120
"Census Tract 54, Hudson County, New Jersey!!Total population!!Estimate","1,264",54.0,1264
"Census Tract 23, Hudson County, New Jersey!!Total population!!Estimate","1,280",23.0,1280
"Census Tract 64, Hudson County, New Jersey!!Total population!!Estimate","1,426",64.0,1426
"Census Tract 47, Hudson County, New Jersey!!Total population!!Estimate","1,105",47.0,1105
"Census Tract 72, Hudson County, New Jersey!!Total population!!Estimate","1,958",72.0,1958
"Census Tract 199, Hudson County, New Jersey!!Total population!!Estimate","1,173",199.0,1173
"Census Tract 2, Hudson County, New Jersey!!Total population!!Estimate",962,2.0,962
"Census Tract 166, Hudson County, New Jersey!!Total population!!Estimate",848,166.0,848
"Census Tract 185, Hudson County, New Jersey!!Total population!!Estimate","1,760",185.0,1760
"Census Tract 35, Hudson County, New Jersey!!Total population!!Estimate","1,422",35.0,1422
"Census Tract 124, Hudson County, New Jersey!!Total population!!Estimate","1,124",124.0,1124
"Census Tract 24, Hudson County, New Jersey!!Total population!!Estimate","1,625",24.0,1625
"Census Tract 29, Hudson County, New Jersey!!Total population!!Estimate","1,032",29.0,1032
"Census Tract 17.01, Hudson County, New Jersey!!Total population!!Estimate",955,17.01,955
"Census Tract 62, Hudson County, New Jersey!!Total population!!Estimate","1,028",62.0,1028
"Census Tract 116, Hudson County, New Jersey!!Total population!!Estimate",786,116.0,786
"Census Tract 27, Hudson County, New Jersey!!Total population!!Estimate","1,058",27.0,1058
"Census Tract 41.02, Hudson County, New Jersey!!Total population!!Estimate","1,044",41.02,1044
"Census Tract 113, Hudson County, New Jersey!!Total population!!Estimate",934,113.0,934
"Census Tract 149, Hudson County, New Jersey!!Total population!!Estimate","1,042",149.0,1042
"Census Tract 150.02, Hudson County, New Jersey!!Total population!!Estimate","1,004",150.02,1004
"Census Tract 151, Hudson County, New Jersey!!Total population!!Estimate","1,082",151.0,1082
"Census Tract 152.02, Hudson County, New Jersey!!Total population!!Estimate","1,089",152.02,1089
"Census Tract 198, Hudson County, New Jersey!!Total population!!Estimate","1,218",198.0,1218
"Census Tract 200, Hudson County, New Jersey!!Total population!!Estimate","1,221",200.0,1221
"Census Tract 18, Hudson County, New Jersey!!Total population!!Estimate",783,18.0,783
"Census Tract 19, Hudson County, New Jersey!!Total population!!Estimate",840,19.0,840
"Census Tract 162, Hudson County, New Jersey!!Total population!!Estimate","1,035",162.0,1035
"Census Tract 70, Hudson County, New Jersey!!Total population!!Estimate","1,189",70.0,1189
"Census Tract 132, Hudson County, New Jersey!!Total population!!Estimate","1,189",132.0,1189
"Census Tract 143, Hudson County, New Jersey!!Total population!!Estimate","1,079",143.0,1079
"Census Tract 147, Hudson County, New Jersey!!Total population!!Estimate","1,313",147.0,1313
